file_nm,cik,entity_name
CIK0000884504.json,884504,THERMOENERGY CORP
CIK0001810140.json,1810140,1847 GOEDEKER INC.
CIK0000018937.json,18937,CERADYNE INC
CIK0000893691.json,893691,Masonite International Corporation
CIK0001511618.json,1511618,"PUISSANT INDUSTRIES, INC."
CIK0001287808.json,1287808,"HILL INTERNATIONAL, INC."
CIK0001264089.json,1264089,YAMANA GOLD INC.
CIK0001413547.json,1413547,"WRIT MEDIA GROUP, INC."
CIK0001401983.json,1401983,AMERICAN EAGLE ENERGY INC.
CIK0001583773.json,1583773,"IXIR PRODUCTIONS, INC."
CIK0001502034.json,1502034,"GNC HOLDINGS, INC."
CIK0001875943.json,0001875943,VMG Consumer Acquisition Corp.
CIK0000896493.json,896493,"BITNILE HOLDINGS, INC."
CIK0001711485.json,1711485,"DGOC SERIES 28, L.P."
CIK0001037676.json,1037676,"Arch Resources, Inc."
CIK0001042776.json,1042776,"Piedmont Office Realty Trust, Inc."
CIK0001095651.json,1095651,iStar Inc.
CIK0001254595.json,1254595,FIRST POTOMAC REALTY TRUST
CIK0001041859.json,1041859,"THE CHILDREN’S PLACE, INC."
CIK0000880117.json,880117,SANFILIPPO JOHN B & SON INC
CIK0001097396.json,1097396,CERES TACTICAL GLOBAL L.P.
CIK0001114274.json,1114274,COL CHINA ONLINE INTERNATIONAL INC
CIK0000049938.json,49938,IMPERIAL OIL LIMITED
CIK0000839443.json,839443,TELVUE CORP
CIK0001419275.json,1419275,GREENBOX POS
CIK0001136893.json,1136893,"Fidelity National Information Services, Inc."
CIK0001519117.json,1519117,"ATEL 15, LLC"
CIK0000705752.json,705752,CENTURY PROPERTIES FUND XIX
CIK0001159167.json,1159167,iROBOT CORPORATION
CIK0001737372.json,1737372,"SYSOREX, INC."
CIK0000934543.json,934543,AMERICAN CHURCH MORTGAGE COMPANY
CIK0001540528.json,0001540528,
CIK0001448780.json,1448780,MOBILEBITS HOLDINGS CORP
CIK0001419625.json,1419625,APPTIO INC
CIK0001771841.json,0001771841,
CIK0000029006.json,29006,DIONICS INC
CIK0001066116.json,1066116,TIM PARTICIPACOES SA
CIK0001389518.json,1389518,"Clubhouse Media Group, Inc."
CIK0001498498.json,0001498498,
CIK0001553304.json,1553304,"GALT PETROLEUM, INC."
CIK0000943184.json,943184,Ever-Glory International Group Inc.
CIK0001806201.json,1806201,OPEN LENDING CORPORATION
CIK0001074828.json,1074828,"KNOW LABS, INC."
CIK0001657312.json,1657312,Verona Pharma plc
CIK0001637913.json,1637913,MILACRON HOLDINGS CORP.
CIK0001387156.json,1387156,AIRXPANDERS INC
CIK0001499323.json,1499323,CHINA RISING STAR LTD
CIK0001276671.json,1276671,CORPBANCA/FI
CIK0000049754.json,49754,"Dine Brands Global, Inc."
CIK0000025475.json,25475,CRAWFORD & CO
CIK0000094784.json,94784,ALSERES PHARMACEUTICALS INC /DE
CIK0001570937.json,1570937,ALTAIR INTERNATIONAL CORP.
CIK0001141107.json,1141107,ARRIS GROUP INC
CIK0001350421.json,1350421,HK EBUS CORP
CIK0000029905.json,29905,DOVER Corp
CIK0001796129.json,1796129,"Vincerx Pharma, Inc."
CIK0001085094.json,0001085094,
CIK0001224951.json,1224951,PDC 2002 C LTD PARTNERSHIP
CIK0000727273.json,727273,CADIZ INC
CIK0001844971.json,1844971,Greenidge Generation Holdings Inc.
CIK0001487782.json,1487782,"REVEN HOUSING REIT, INC."
CIK0000060086.json,60086,LOEWS CORP
CIK0001034670.json,1034670,"Autoliv, Inc."
CIK0001552000.json,1552000,MPLX LP
CIK0001401700.json,1401700,"NORTHFIELD BANCORP, INC."
CIK0001706090.json,0001706090,
CIK0001017110.json,1017110,"GeneThera, Inc."
CIK0001443089.json,1443089,"WEARABLE HEALTH SOLUTIONS, INC."
CIK0001331427.json,1331427,"AGFEED INDUSTRIES, INC."
CIK0000792987.json,792987,"Astec Industries, Inc."
CIK0001432963.json,1432963,ENERGY & TECHNOLOGY CORP.
CIK0001673358.json,1673358,"Yum China Holdings, Inc."
CIK0001846809.json,1846809,OceanTech Acquisitions I Corp.
CIK0001833909.json,1833909,African Gold Acquisition Corp
CIK0001367617.json,1367617,CYBERMESH INTERNATIONAL CORP.
CIK0000108985.json,108985,YORK WATER CO
CIK0001453820.json,1453820,PENN MILLERS HOLDING CORP
CIK0001641229.json,1641229,FIRST MINING GOLD CORP.
CIK0001771007.json,1771007,AFYA LIMITED
CIK0001876945.json,1876945,TPCO Holding Corp.
CIK0001893440.json,0001893440,
CIK0001337009.json,1337009,"UAN CULTURAL & CREATIVE CO., LTD."
CIK0001605024.json,1605024,"IDDRIVEN, INC."
CIK0001040161.json,1040161,"PIXELWORKS, INC"
CIK0001511198.json,1511198,"FIRST CONNECTICUT BANCORP, INC."
CIK0000097517.json,97517,TEXAS PACIFIC LAND TRUST
CIK0001116463.json,1116463,"ORASURE TECHNOLOGIES, INC"
CIK0001840877.json,1840877,Anzu Special Acquisition Corp I
CIK0000719264.json,719264,FIRST CITIZENS BANCSHARES INC /TN/
CIK0001301838.json,1301838,"Premier Product Group, Inc."
CIK0001423221.json,1423221,QUANEX BUILDING PRODUCTS CORPORATION
CIK0001278680.json,1278680,ISHARES GOLD TRUST
CIK0001635538.json,1635538,IHO-AGRO INTERNATIONAL INC.
CIK0001896212.json,0001896212,MURPHY CANYON ACQUISITION CORP.
CIK0001581164.json,1581164,"EXTENDED STAY AMERICA, INC."
CIK0000054473.json,54473,KANSAS CITY LIFE INSURANCE CO
CIK0001853021.json,1853021,METALS ACQUISITION CORP
CIK0001144169.json,1144169,"ECO INNOVATION GROUP, INC."
CIK0001041009.json,1041009,REVOLUTIONS MEDICAL CORP
CIK0001167609.json,1167609,BRIGHTHOUSE LIFE INSURANCE Co OF NY
CIK0001823323.json,1823323,KL Acquisition Corp
CIK0001532882.json,1532882,"AMERICAN BUSINESS SERVICES, INC."
CIK0001527383.json,1527383,BankGuam Holding Company
CIK0000865911.json,865911,CASCADE BANCORP
CIK0000009326.json,9326,Balchem Corporation
CIK0001568238.json,0001568238,
CIK0001630940.json,1630940,ATLANTIC ALLIANCE PARTNERSHIP CORP.
CIK0001368761.json,1368761,"Start Scientific, Inc."
CIK0001375850.json,1375850,HUBEI MINKANG PHARMACEUTICAL LTD.
CIK0000826020.json,0000826020,
CIK0001725123.json,1725123,Cango Inc.
CIK0001289945.json,1289945,"SPOK HOLDINGS, INC."
CIK0001560258.json,1560258,"electroCore, Inc."
CIK0001195933.json,1195933,INFINITY PROPERTY & CASUALTY CORP
CIK0001094810.json,1094810,MUTUALFIRST FINANCIAL INC
CIK0001261788.json,0001261788,
CIK0001698039.json,1698039,ARD FINANCE S.A.
CIK0001396878.json,1396878,"United States Gasoline Fund, LP"
CIK0001100734.json,1100734,"KINGSMEN CAPITAL GROUP, LTD"
CIK0001102709.json,1102709,FORMCAP CORP.
CIK0001332572.json,1332572,"ECAREER HOLDINGS, INC."
CIK0001577437.json,1577437,Ardmore Shipping Corp
CIK0001177609.json,1177609,"Five Below, Inc."
CIK0000089270.json,89270,SL INDUSTRIES INC
CIK0001361540.json,1361540,"GLOBALINK, LTD."
CIK0001145328.json,1145328,"GENOSYS, INC."
CIK0001383729.json,1383729,"FUSION-IO, INC."
CIK0001795139.json,1795139,GREEN THUMB INDUSTRIES INC.
CIK0001347022.json,1347022,POSITIVEID CORP
CIK0001289046.json,1289046,AMERICAN CORDILLERA MINING CORP
CIK0001801602.json,1801602,"SPRINGBIG HOLDINGS, INC."
CIK0001070304.json,1070304,ORIX CORPORATION
CIK0001364742.json,1364742,"BlackRock, Inc."
CIK0000862692.json,862692,"CRYO-CELL INTERNATIONAL, INC."
CIK0001490381.json,1490381,STRATEGIC MINING CORP
CIK0001495479.json,1495479,"BRAVO BRIO RESTAURANT GROUP, INC."
CIK0001923807.json,0001923807,
CIK0001483057.json,1483057,BAILEY FRANCES CORP
CIK0001403802.json,1403802,"SPINDLE, INC."
CIK0001063197.json,1063197,"CURAEGIS TECHNOLOGIES, INC."
CIK0001822027.json,1822027,Tekkorp Digital Acquisition Corp.
CIK0000096869.json,96869,TEJON RANCH CO.
CIK0001123541.json,1123541,PENSON WORLDWIDE INC
CIK0000702644.json,702644,REAL ESTATE ASSOCIATES LTD V
CIK0001378624.json,1378624,"CELLULAR BIOMEDICINE GROUP, INC."
CIK0001335258.json,1335258,"LIVE NATION ENTERTAINMENT, INC."
CIK0001808136.json,0001808136,
CIK0001840748.json,0001840748,LAVA Therapeutics NV
CIK0000929058.json,929058,"HUANENG POWER INTERNATIONAL, INC."
CIK0000009263.json,9263,MICHAEL BAKER CORP
CIK0001836967.json,1836967,ALKURI GLOBAL ACQUISITION CORP.
CIK0001847577.json,1847577,LEARN CW INVESTMENT CORP
CIK0001717547.json,1717547,"BRIGHTSPIRE CAPITAL, INC."
CIK0001770883.json,1770883,Linx S.A.
CIK0001164863.json,1164863,"ENPRO INDUSTRIES, INC"
CIK0001099234.json,1099234,"INCAPTA, INC."
CIK0001580149.json,1580149,BIOVIE INC.
CIK0001485029.json,1485029,"NEW ASIA HOLDINGS, INC."
CIK0000074303.json,74303,Olin Corporation
CIK0001360214.json,1360214,"Harrow Health, Inc."
CIK0001630805.json,1630805,"BABCOCK & WILCOX ENTERPRISES, INC"
CIK0001650204.json,1650204,CHINA TONGZILIAN GROUP SHARE LTD INC.
CIK0000828878.json,828878,HH BIOTECHNOLOGY HOLDINGS CO
CIK0001497917.json,1497917,"INCA GLOBAL, INC"
CIK0001639327.json,1639327,"Gushen, Inc."
CIK0000725537.json,725537,SECURITY CAPITAL CORP/MS
CIK0001847127.json,1847127,"GORES GUGGENHEIM, INC."
CIK0001406587.json,1406587,FORESTAR GROUP INC.
CIK0001610764.json,1610764,AMCHI GENDYNAMY SCIENCE CORP
CIK0001074486.json,0001074486,
CIK0001132887.json,1132887,SEAWRIGHT HOLDINGS INC
CIK0000029952.json,29952,"China Changjiang Mining & New Energy Company, Ltd."
CIK0000741508.json,741508,"NV ENERGY, INC."
CIK0000710507.json,710507,"FIRST BANKS, INC"
CIK0000706129.json,706129,"HORIZON BANCORP, INC."
CIK0001307954.json,1307954,Huntsman Corporation
CIK0001501570.json,1501570,"VERITEX HOLDINGS, INC."
CIK0001695963.json,1695963,KORTH DIRECT MORTGAGE INC.
CIK0001340476.json,1340476,DIRTT ENVIRONMENTAL SOLUTIONS LTD
CIK0001943178.json,0001943178,
CIK0000726435.json,726435,"APOLLO SOLAR ENERGY, INC."
CIK0001308208.json,1308208,"UNIVERSAL LOGISTICS HOLDINGS, INC."
CIK0001442620.json,1442620,"Recon Technology, Ltd"
CIK0001414040.json,0001414040,
CIK0000732026.json,732026,TRIO-TECH INTERNATIONAL
CIK0000906465.json,906465,"QCR HOLDINGS, INC."
CIK0000091882.json,91882,"DOMINION ENERGY SOUTH CAROLINA, INC."
CIK0000775057.json,775057,ALTEX INDUSTRIES INC
CIK0001404943.json,1404943,"METASTAT, INC."
CIK0001501989.json,1501989,"CytomX Therapeutics, Inc."
CIK0001578453.json,1578453,DYNAGAS LNG PARTNERS LP
CIK0001091983.json,1091983,FOREVERGREEN WORLDWIDE CORP
CIK0001918080.json,0001918080,Aspen-1 Acquisition Inc.
CIK0000091928.json,91928,"South Jersey Industries, Inc."
CIK0001857259.json,0001857259,
CIK0001492168.json,1492168,NORTH SPRINGS RESOURCES CORP.
CIK0000005094.json,0000005094,
CIK0001086745.json,1086745,"AYRO, INC."
CIK0001822359.json,1822359,DocGo Inc.
CIK0001854863.json,1854863,Blue Whale Acquisition Corp I
CIK0001360886.json,1360886,"OSIRIS THERAPEUTICS, INC."
CIK0000769131.json,769131,RANCON REALTY FUND V
CIK0000105319.json,105319,"WW INTERNATIONAL, INC."
CIK0000945841.json,945841,POOL CORPORATION
CIK0001794905.json,1794905,"Cyxtera Technologies, Inc."
CIK0001873213.json,1873213,BIRDIE WIN CORPORATION
CIK0001825473.json,1825473,PROSPECTOR CAPITAL CORP.
CIK0000885568.json,885568,OLD DOMINION ELECTRIC COOPERATIVE
CIK0000928022.json,928022,Callon Petroleum Co
CIK0001013554.json,1013554,PARK BANCORP INC
CIK0001086600.json,1086600,ALLIANCE RESOURCE PARTNERS LP
CIK0001562818.json,0001562818,
CIK0001815495.json,1815495,Northern Genesis Acquisition Corp.
CIK0001867250.json,0001867250,
CIK0001351288.json,1351288,GW PHARMACEUTICALS PLC
CIK0001625095.json,1625095,GLOBAL SMART CAPITAL CORP.
CIK0000106535.json,106535,WEYERHAEUSER COMPANY
CIK0001528308.json,1528308,"IONIX TECHNOLOGY, INC."
CIK0001134115.json,1134115,INTERNATIONAL TOWER HILL MINES LTD.
CIK0001578845.json,1578845,ALLERGAN PLC
CIK0000948320.json,948320,"LIFEMD, INC."
CIK0001334388.json,1334388,OBSIDIAN ENERGY LTD.
CIK0001557255.json,1557255,SILVER BAY REALTY TRUST CORP.
CIK0001406568.json,1406568,MAJIC WHEELS CORP
CIK0000794107.json,794107,CALA CORP
CIK0000006207.json,6207,AMREP CORP.
CIK0001062047.json,1062047,CONVERGYS CORP
CIK0000704051.json,704051,"LEGG MASON, INC."
CIK0001122491.json,1122491,BRF S.A.
CIK0001488420.json,1488420,ELSINORE SERVICES INC
CIK0001338578.json,1338578,"CHINA GENGSHENG MINERALS, INC."
